variant_index,variant_value,fold,logic,n_instances,total_par2,avg_par2,solved,solve_rate
0,False,0,QF_BV,702,19207.09,27.3605,551,0.7849
0,False,0,QF_LIA,575,15929.14,27.7029,476,0.8278
0,False,0,QF_NRA,882,577.44,0.6547,879,0.9966
0,False,1,QF_BV,550,38615.89,70.2107,247,0.4491
0,False,1,QF_LIA,541,6535.75,12.0809,496,0.9168
0,False,1,QF_NRA,512,6852.15,13.3831,456,0.8906
0,False,2,QF_BV,556,1121.88,2.0178,552,0.9928
0,False,2,QF_LIA,649,2223.14,3.4255,639,0.9846
0,False,2,QF_NRA,480,13833.26,28.8193,404,0.8417
0,False,3,QF_BV,589,6733.86,11.4327,546,0.927
0,False,3,QF_LIA,647,15665.94,24.2132,525,0.8114
0,False,3,QF_NRA,544,42984.42,79.0155,230,0.4228
0,False,4,QF_BV,603,32671.66,54.1819,337,0.5589
0,False,4,QF_LIA,588,34838.48,59.2491,300,0.5102
0,False,4,QF_NRA,582,2385.51,4.0988,564,0.9691
1,True,0,QF_BV,702,19207.09,27.3605,551,0.7849
1,True,0,QF_LIA,575,15929.14,27.7029,476,0.8278
1,True,0,QF_NRA,882,577.44,0.6547,879,0.9966
1,True,1,QF_BV,550,38615.89,70.2107,247,0.4491
1,True,1,QF_LIA,541,6535.75,12.0809,496,0.9168
1,True,1,QF_NRA,512,6852.15,13.3831,456,0.8906
1,True,2,QF_BV,556,1121.88,2.0178,552,0.9928
1,True,2,QF_LIA,649,2223.14,3.4255,639,0.9846
1,True,2,QF_NRA,480,13833.26,28.8193,404,0.8417
1,True,3,QF_BV,589,6733.86,11.4327,546,0.927
1,True,3,QF_LIA,647,15665.94,24.2132,525,0.8114
1,True,3,QF_NRA,544,42984.42,79.0155,230,0.4228
1,True,4,QF_BV,603,32671.66,54.1819,337,0.5589
1,True,4,QF_LIA,588,34838.48,59.2491,300,0.5102
1,True,4,QF_NRA,582,2385.51,4.0988,564,0.9691
